formula,proto_uid,proto_formula,proto_layergroup,proto_lgnum,proto_international,proto_bravais_type,proto_gap_hse,proto_ehull,proto_dyn_stab,substitution,s_chem_rf,src_en,tgt_en,substitution_en_delta,src_radius,tgt_radius,substitution_radius_delta,substitution_radius_delta_frac,substitution_risk,needs_relaxation,reduced_formula,candidate_layergroup,candidate_layergroup_norm,exists_same_formula,exists_same_formula_layergroup,novelty_class,matched_c2db_uids,matched_c2db_layergroups,matched_same_lg_uids,matched_same_lg_gap_hse,matched_same_lg_gap_pbe,matched_same_lg_ehull,matched_same_lg_dyn_stab,candidate_index,gap_pred,is_uwbg,gap_bin,m3gnet_energy_pa,is_novel
PHCO3,2GeHPO3-1,GePHO3,p11a,5,Pc,Oblique (mp),6.084393950689768,0.0,Yes,Ge→C,0.72,2.01,2.55,0.54,1.25,0.67,0.58,0.46399999999999997,high,True,PHCO3,p11a,p11a,False,False,new_composition,,,,,,,,597,7.062123775482178,True,6-8,,True
RbAsO3,2NRbO3-1,RbNO3,p2_1/m11,15,P2_1/m,Rectangular (op),5.286226532964832,0.0,Yes,N→As,0.75,3.04,2.18,0.8599999999999999,0.56,1.14,0.5799999999999998,1.0357142857142854,high,True,RbAsO3,p2_1/m11,p2_1/m11,False,False,new_composition,,,,,,,,285,7.043325424194336,True,6-8,,True
BClO,2ClGaO-1,GaClO,pmmn,46,Pmmn,Rectangular (op),4.957459341310971,0.0,Yes,Ga→B,0.515,1.81,2.04,0.22999999999999998,1.36,0.87,0.4900000000000001,0.3602941176470589,high,True,BClO,pmmn,pmmn,False,False,new_composition,,,,,,,,399,7.032580852508545,True,6-8,,True
NaMgCl3,2LiMgCl3-1,LiMgCl3,p-31m,71,P-31m,Hexagonal (hp),7.012333418928682,0.03439843260186777,Yes,Li→Na,0.92,0.98,0.93,0.04999999999999993,1.67,1.9,0.22999999999999998,0.1377245508982036,low,False,NaMgCl3,p-31m,p-31m,False,False,new_composition,,,,,,,,327,7.012096405029297,True,6-8,,True
CsSbO3,2CsNO3-1,CsNO3,p2_1/m11,15,P2_1/m,Rectangular (op),5.324298339270695,0.0,Yes,N→Sb,0.625,3.04,2.05,0.9900000000000002,0.56,1.33,0.77,1.375,high,True,CsSbO3,p2_1/m11,p2_1/m11,False,False,new_composition,,,,,,,,213,6.9137372970581055,True,6-8,,True
LiHCO3,2CHKO3-1,KHCO3,p2_111,9,P2_1,Rectangular (op),6.2155469319672925,0.0,Yes,K→Li,0.91,0.82,0.98,0.16000000000000003,2.43,1.67,0.7600000000000002,0.3127572016460906,high,True,LiHCO3,p2_111,p2_111,False,False,new_composition,,,,,,,,563,6.8709716796875,True,6-8,,True
Ba(BH4)2,1MgB2H8-1,Mg(BH4)2,p-3m1,72,P-3m1,Hexagonal (hp),7.486423969633201,0.03965224830509972,Yes,Mg→Ba,0.575,1.31,0.89,0.42000000000000004,1.45,2.53,1.0799999999999998,0.7448275862068965,high,True,Ba(BH4)2,p-3m1,p-3m1,False,False,new_composition,,,,,,,,612,6.729569435119629,True,6-8,,True
SiPHO3,2GeHPO3-1,GePHO3,p11a,5,Pc,Oblique (mp),6.084393950689768,0.0,Yes,Ge→Si,0.7,2.01,1.9,0.10999999999999988,1.25,1.11,0.1399999999999999,0.11199999999999992,low,False,SiPHO3,p11a,p11a,False,False,new_composition,,,,,,,,598,6.722982406616211,True,6-8,,True
MgClF,1BrClMg-1,MgBrCl,p3m1,69,P3m1,Hexagonal (hp),5.813815942663741,0.007203172482940741,Yes,Br→F,0.87,2.96,3.98,1.02,0.94,0.42,0.52,0.5531914893617021,high,True,MgClF,p3m1,p3m1,False,False,new_composition,,,,,,,,421,6.709407329559326,True,6-8,,True
SrLiCl3,2LiMgCl3-1,LiMgCl3,p-31m,71,P-31m,Hexagonal (hp),7.012333418928682,0.03439843260186777,Yes,Mg→Sr,0.82,1.31,0.95,0.3600000000000001,1.45,2.19,0.74,0.5103448275862069,high,True,SrLiCl3,p-31m,p-31m,False,False,new_composition,,,,,,,,325,6.702587604522705,True,6-8,,True
