formula,proto_uid,proto_formula,proto_layergroup,proto_lgnum,proto_international,proto_bravais_type,proto_gap_hse,proto_ehull,proto_dyn_stab,substitution,s_chem_rf,src_en,tgt_en,substitution_en_delta,src_radius,tgt_radius,substitution_radius_delta,substitution_radius_delta_frac,substitution_risk,needs_relaxation,reduced_formula,candidate_layergroup,candidate_layergroup_norm,exists_same_formula,exists_same_formula_layergroup,novelty_class,matched_c2db_uids,matched_c2db_layergroups,matched_same_lg_uids,matched_same_lg_gap_hse,matched_same_lg_gap_pbe,matched_same_lg_ehull,matched_same_lg_dyn_stab,candidate_index,gap_pred,is_uwbg,gap_bin
AlBrO,2BrGaO-1,GaBrO,pmmn,46,Pmmn,Rectangular (op),3.600632706393195,0.01879099445794689,Yes,Ga→Al,0.55,1.81,1.61,0.19999999999999996,1.36,1.18,0.18000000000000016,0.1323529411764707,low,False,AlBrO,pmmn,pmmn,True,True,known_material,2AlBrO-1,pmmn,2AlBrO-1,5.396859842159907,4.142216045055263,0.03983876375219383,Yes,379,5.395829677581787,True,4-6
GaOF,2BrGaO-1,GaBrO,pmmn,46,Pmmn,Rectangular (op),3.600632706393195,0.01879099445794689,Yes,Br→F,0.69,2.96,3.98,1.02,0.94,0.42,0.52,0.5531914893617021,high,True,GaOF,pmmn,pmmn,True,True,known_material,2FGaO-1,pmmn,2FGaO-1,4.755211768183427,3.151661389349166,0.0,Yes,380,4.490091800689697,True,4-6
GaClO,2BrGaO-1,GaBrO,pmmn,46,Pmmn,Rectangular (op),3.600632706393195,0.01879099445794689,Yes,Br→Cl,0.545,2.96,3.16,0.20000000000000018,0.94,0.79,0.1499999999999999,0.1595744680851063,medium,True,GaClO,pmmn,pmmn,True,True,known_material,2ClGaO-1,pmmn,2ClGaO-1,4.957459341310971,3.6737700855519333,0.0,Yes,381,4.682609558105469,True,4-6
SrBrCl,2BrFSr-1,SrBrF,p4/nmm,64,P4/nmm,Square (tp),6.269510738711807,0.001903436617242941,Yes,F→Cl,0.915,3.98,3.16,0.8199999999999998,0.42,0.79,0.37000000000000005,0.8809523809523812,high,True,SrBrCl,p4/nmm,p4/nmm,True,True,known_material,2BrClSr-1,p4/nmm,2BrClSr-1,,4.21363242833478,0.13176880790219178,Unknown,387,4.947764873504639,True,4-6
SrClF,2BrFSr-1,SrBrF,p4/nmm,64,P4/nmm,Square (tp),6.269510738711807,0.001903436617242941,Yes,Br→Cl,0.925,2.96,3.16,0.20000000000000018,0.94,0.79,0.1499999999999999,0.1595744680851063,medium,True,SrClF,p4/nmm,p4/nmm,True,True,known_material,2ClFSr-1,p4/nmm,2ClFSr-1,7.351129491723217,6.009449023016467,0.03361479903361383,Yes,388,7.366368770599365,True,6-8
SrIF,2BrFSr-1,SrBrF,p4/nmm,64,P4/nmm,Square (tp),6.269510738711807,0.001903436617242941,Yes,Br→I,0.94,2.96,2.66,0.2999999999999998,0.94,1.15,0.20999999999999996,0.2234042553191489,medium,True,SrIF,p4/nmm,p4/nmm,True,True,known_material,2FISr-1,p4/nmm,2FISr-1,5.170777689308794,4.219075560287093,0.0,Yes,389,5.280707836151123,True,4-6
LiTeH,2HNaTe-1,NaTeH,p4/nmm,64,P4/nmm,Square (tp),3.4919662774622786,0.09714717147246195,Yes,Na→Li,0.505,0.93,0.98,0.04999999999999993,1.9,1.67,0.22999999999999998,0.12105263157894737,low,False,LiTeH,p4/nmm,p4/nmm,True,True,known_material,2HLiTe-1,p4/nmm,2HLiTe-1,,,0.12694432088165616,Unknown,390,2.7588725090026855,False,2-4
KTeH,2HNaTe-1,NaTeH,p4/nmm,64,P4/nmm,Square (tp),3.4919662774622786,0.09714717147246195,Yes,Na→K,0.745,0.93,0.82,0.1100000000000001,1.9,2.43,0.5300000000000002,0.2789473684210528,medium,True,KTeH,p4/nmm,p4/nmm,True,True,known_material,2HKTe-1,p4/nmm,2HKTe-1,3.4002637298102867,2.63690401380311,0.08706244676639645,Yes,391,3.8893914222717285,True,2-4
LiHO,2HNaO-2,NaHO,p4/nmm,64,P4/nmm,Square (tp),5.180520156502341,0.00044363769261224206,Yes,Na→Li,0.92,0.93,0.98,0.04999999999999993,1.9,1.67,0.22999999999999998,0.12105263157894737,low,False,LiHO,p4/nmm,p4/nmm,True,True,known_material,2HLiO-1;2HLiO-2,p4/nmm,2HLiO-1;2HLiO-2,5.6121973418083115,3.935352440756461,0.0;0.06428251891499137,Yes;Unknown,392,5.731354236602783,True,4-6
KHO,2HNaO-2,NaHO,p4/nmm,64,P4/nmm,Square (tp),5.180520156502341,0.00044363769261224206,Yes,Na→K,0.94,0.93,0.82,0.1100000000000001,1.9,2.43,0.5300000000000002,0.2789473684210528,medium,True,KHO,p4/nmm,p4/nmm,True,True,known_material,2HKO-2;2HKO-1,p4/nmm,2HKO-2;2HKO-1,4.88989500007596;4.500784143665869,3.2598721998287403;2.8670015007255554,0.03955869357750549;0.013020629440281558,Yes,393,4.379533290863037,True,4-6
AlOF,2FGaO-1,GaOF,pmmn,46,Pmmn,Rectangular (op),4.755211768183427,0.0,Yes,Ga→Al,0.75,1.81,1.61,0.19999999999999996,1.36,1.18,0.18000000000000016,0.1323529411764707,low,False,AlOF,pmmn,pmmn,True,True,known_material,2AlFO-1,pmmn,2AlFO-1,7.451110094646179,5.6726503874705285,0.014762832652935506,Yes,397,7.2928032875061035,True,6-8
NaHO,2HLiO-1,LiHO,p4/nmm,64,P4/nmm,Square (tp),5.612197341808312,0.0,Yes,Li→Na,0.93,0.98,0.93,0.04999999999999993,1.67,1.9,0.22999999999999998,0.1377245508982036,low,False,NaHO,p4/nmm,p4/nmm,True,True,known_material,2HNaO-2;2HNaO-1,p4/nmm,2HNaO-2;2HNaO-1,5.180520156502341;4.458174478957227,3.503657422151256;2.80219479300819,0.00044363769261224206;0.0,Yes,398,5.963003635406494,True,4-6
