uid,formula,reduced_formula,natoms,ehull,hform,gap_pbe,gap_hse,dyn_stab,layergroup,lgnum,international,bravais_type,layergroup_norm
2ClMn-1,Mn2Cl2,MnCl,4,0.4757953247290563,-0.31921381856818787,,,Unknown,p-3m1,72,P-3m1,Hexagonal (hp),p-3m1
2IPt-3,Pt2I2,PtI,4,0.4422791963751074,0.3163271538026149,0.0,,No,p-3m1,72,P-3m1,Hexagonal (hp),p-3m1
2IPt-4,Pt2I2,PtI,4,0.4844361241078765,0.358484081535384,0.0,,No,p4/nmm,64,P4/nmm,Square (tp),p4/nmm
2IPt-1,Pt2I2,PtI,4,0.026212089578562026,-0.09973995299393046,0.3551299065345279,0.4039141514267164,Yes,p-3m1,72,P-3m1,Hexagonal (hp),p-3m1
2IPt-2,Pt2I2,PtI,4,0.27861484838413997,0.15266280581164748,,,Unknown,cm2e,36,Aem2,Centered rectangular (oc),cm2e
12AsTl-1,Tl12As12,TlAs,24,0.07877879084292101,0.07877879084292101,0.0,,Unknown,cm2e,36,Aem2,Centered rectangular (oc),cm2e
2SeV-2,V2Se2,VSe,4,0.11354386880740819,-0.5244488699332637,0.0,,Yes,p-3m1,72,P-3m1,Hexagonal (hp),p-3m1
2SeV-1,V2Se2,VSe,4,0.09696066297060835,-0.5410320757700635,0.0,,No,p4/nmm,64,P4/nmm,Square (tp),p4/nmm
2SeV-4,V2Se2,VSe,4,0.4197104693285789,-0.21828226941209294,0.2567429353394053,0.7880152919562426,No,p-6m2,78,P-6m2,Hexagonal (hp),p-6m2
2SeV-3,V2Se2,VSe,4,0.18439946978587862,-0.45359326895479324,0.0,,No,p4/mmm,61,P4/mmm,Square (tp),p4/mmm
2SeV-5,V2Se2,VSe,4,0.49377110773621524,-0.14422163100445662,0.0,0.26285021295659594,No,p-3m1,72,P-3m1,Hexagonal (hp),p-3m1
2FRe-2,Re2F2,ReF,4,1.707497430054252,0.4803502028486122,0.0,,No,p4/nmm,64,P4/nmm,Square (tp),p4/nmm
2FRe-1,Re2F2,ReF,4,0.2577018762848262,-0.9694453509208136,0.0,,No,p-3m1,72,P-3m1,Hexagonal (hp),p-3m1
