uid,formula,gap_hse,gap_pbe,is_uwbg,ehull,hform,thickness,natoms,is_magnetic,dyn_stab,a_lat,b_lat,lgnum,n_species,has_F,has_Cl,has_Br,has_I,has_O,has_N,has_S,has_halide,has_alkali,has_alkaline_earth,has_transition_metal,mean_en,max_en,min_en,range_en,mean_period,max_period,mean_group,mean_cov_radius,mean_atomic_mass,dyn_stab_yes,ab_ratio
1SeTeZr-2,ZrSeTe,0.783154166423321,0.2620154841868172,0,0.11460845124713614,-1.0173375176522015,3.5315976200354635,3,0,Yes,3.8100340502695933,3.810034050269594,69,3,0,0,0,0,0,0,0,0,0,0,1,1.9933333333333334,2.55,1.33,1.2199999999999998,4.666666666666667,5.0,12.0,1.4400000000000002,99.26133333333333,1,0.9999999999999998
2FOY-1,Y2F2O2,6.726879214939499,5.17330748846039,1,0.0,-3.922924506587299,5.161910444151374,6,0,Yes,3.697801624065685,3.697801624065693,72,3,1,0,0,0,1,0,0,1,0,0,1,2.8800000000000003,3.98,1.22,2.76,3.0,5.0,12.0,1.0066666666666666,41.30121773333333,1,0.9999999999999979
2ClCrO-1,Cr2Cl2O2,3.0275407662035287,0.647494553676041,0,0.0002616883824930009,-1.607187384698855,5.118307699577317,6,1,Yes,3.9002317742366235,3.2112961343858006,46,3,0,1,0,0,1,0,0,1,0,0,1,2.7533333333333334,3.44,1.66,1.78,3.0,4.0,13.0,0.9766666666666667,34.48283333333333,1,1.2145350696480037
2HLiS-1,Li2H2S2,5.027510333112323,3.968592387229113,1,0.02200335329262219,-0.7783263965937266,4.735629095664402,6,0,Yes,4.536794679068456,4.541794283459886,64,3,0,0,0,0,0,0,1,0,1,0,0,1.92,2.58,0.98,1.6,2.0,3.0,6.0,1.0266666666666666,13.33798,1,0.9988992006067652
2CuLiSe-1,Cu2Li2Se2,2.4187659448260166,1.1271805228069431,0,0.07275872052721584,-0.6252727585948202,4.019102993425555,6,0,Yes,5.384131742010779,3.8070658417220455,64,3,0,0,0,0,0,0,0,0,1,0,1,1.8099999999999998,2.55,0.98,1.5699999999999998,3.3333333333333335,4.0,9.333333333333334,1.3833333333333335,49.815666666666665,1,1.414247077895396
1BiFTe-1,BiFTe,1.1786421645807315,0.5843387814369767,0,0.06494260963622993,-1.1913931797016517,2.751554400908102,3,0,Yes,4.133657634271187,4.133657634271192,69,3,1,0,0,0,0,0,0,1,0,0,0,2.6999999999999997,3.98,2.02,1.96,4.333333333333333,6.0,16.0,1.0266666666666666,118.52626773333334,1,0.9999999999999987
4AlITe-1,Al4I4Te4,3.191216089309117,2.3967708389221625,0,0.0,-0.569280823663935,5.251592699171804,12,0,Yes,7.409417955546203,8.087702757786825,17,3,0,0,0,1,0,0,0,1,0,0,0,2.1233333333333335,2.66,1.61,1.05,4.333333333333333,5.0,15.333333333333334,1.1866666666666668,93.82866953333333,1,0.91613381171958
4PPdS-1,Pd4P4S4,2.0904344386127454,1.1949967879016565,0,0.0,-0.45645342909229686,4.19760981453334,12,0,Yes,5.701487676226665,5.736149043029193,16,3,0,0,0,0,0,0,1,0,0,0,1,2.3233333333333337,2.58,2.19,0.3900000000000001,3.6666666666666665,5.0,13.666666666666666,1.1833333333333333,56.486254,1,0.9939573803709564
2BrGaSe-3,Ga2Br2Se2,1.351504660366612,0.735545875301874,0,0.16204957471856588,-0.5819130676145505,5.648240747302878,6,0,No,5.415565583282828,3.6787886492144812,46,3,0,0,1,0,0,0,0,1,0,0,0,2.44,2.96,1.81,1.15,4.0,4.0,15.333333333333334,1.11,76.19566666666667,0,1.47210565750745
2BrGaSe-1,Ga2Br2Se2,3.1091719689487283,2.0760186274454564,0,0.0017186050823645438,-0.7422440372507518,5.823888476211408,6,0,Yes,3.911656975892337,5.654316043246954,32,3,0,0,1,0,0,0,0,1,0,0,0,2.44,2.96,1.81,1.15,4.0,4.0,15.333333333333334,1.11,76.19566666666667,1,0.6918002011161183
2BrGaSe-2,Ga2Br2Se2,2.293940903309383,1.2098208069892364,0,0.025737158209742983,-0.7182254841233734,3.4166241163797535,6,0,Yes,3.889392284446409,6.737398260421149,69,3,0,0,1,0,0,0,0,1,0,0,0,2.44,2.96,1.81,1.15,4.0,4.0,15.333333333333334,1.11,76.19566666666667,1,0.5772840099559865
2InSSi-1,In2S2Si2,2.2054296241545233,1.5172016464741669,0,0.021231892096915377,-0.34922761807474484,8.348223910794605,6,0,Yes,3.9010120324807196,3.90101203248073,72,3,0,0,0,0,0,0,1,0,0,0,0,2.0866666666666664,2.58,1.78,0.8,3.6666666666666665,5.0,14.333333333333334,1.1833333333333333,58.32283333333333,1,0.9999999999999973
2GaGeTe-1,Ga2Ge2Te2,1.1648649293876177,0.6744023696359973,0,0.0,-0.25176666457740754,8.310903930568765,6,0,Yes,4.116446614192612,4.116446614192618,72,3,0,0,0,0,0,0,0,0,0,0,0,1.9733333333333334,2.1,1.81,0.29000000000000004,4.333333333333333,5.0,14.333333333333334,1.28,89.98766666666666,1,0.9999999999999984
2BrInTe-1,In2Br2Te2,2.4734836242855884,1.6762535074479046,0,0.004366038072237899,-0.5918288004472062,5.827871599591026,6,0,Yes,4.423957089564812,6.287758772798289,32,3,0,0,1,0,0,0,0,1,0,0,0,2.28,2.96,1.78,1.18,4.666666666666667,5.0,15.333333333333334,1.2433333333333334,107.44066666666667,1,0.70358250839766
2FGaS-1,Ga2F2S2,4.706083094935123,3.546116329918729,1,0.07893579807124862,-1.4930483209405292,4.275742595377867,6,0,Yes,3.665138303556057,5.122925498468063,32,3,1,0,0,0,0,0,1,1,0,0,0,2.7900000000000005,3.98,1.81,2.17,3.0,4.0,15.333333333333334,0.8866666666666667,40.2621344,1,0.7154385330514886
2AlGeTe-1,Al2Ge2Te2,1.3679514372602402,0.8685000816317137,0,0.0,-0.28084639334199935,8.351713857973309,6,0,Yes,4.106753739326897,4.106753739326906,72,3,0,0,0,0,0,0,0,0,0,0,0,1.906666666666667,2.1,1.61,0.49,4.0,5.0,14.333333333333334,1.22,75.74051286666666,1,0.9999999999999979
