uid,formula,gap_pbe,gap_hse_true,gap_hse_pred,class,ehull,hform,thickness,is_magnetic,dyn_stab,natoms,n_species,has_F,has_Cl,has_Br,has_I,has_O,has_N,has_S,has_halide,has_alkali,has_alkaline_earth,has_transition_metal,mean_en,max_en,min_en,range_en,mean_period,max_period,mean_group,mean_cov_radius,mean_atomic_mass,dyn_stab_yes,s_chem_rf,s_chem_lr
1AgCl-1,AgCl,1.6579021396079194,,3.4754843711853027,Novel,0.03852599863942929,-0.4000907532794131,0.0,0,No,2,2,0,1,0,0,0,0,0,1,0,0,1,2.545,3.16,1.93,1.2300000000000002,4.0,5.0,14.0,1.22,71.6606,0,0.77,0.23520520557693025
2HKS-1,KHS,3.03453273498329,,4.395923137664795,Novel,0.025075411931828384,-0.7822295598190537,6.162254904208083,0,No,6,3,0,0,0,0,0,0,1,0,1,0,0,1.8666666666666665,2.58,0.82,1.7600000000000002,2.6666666666666665,4.0,6.0,1.28,24.05708,0,0.77,0.20937889571989796
4CdCl2-3,CdCl2,3.443779143093796,,4.725391864776611,Novel,0.05702571312029322,-1.0602835649483282,6.246976586722074,0,No,12,2,0,1,0,0,0,0,0,1,0,0,1,2.425,3.16,1.69,1.4700000000000002,4.0,5.0,14.5,1.2000000000000002,73.932,0,0.77,0.1577627537770184
2INaO3-1,NaIO3,2.52907585904973,,3.718893051147461,Novel,0.08144198523624002,-0.6940767350407085,4.327496521143836,0,No,10,3,0,0,0,1,1,0,0,1,1,0,0,2.3433333333333333,3.44,0.93,2.51,3.3333333333333335,5.0,11.333333333333334,1.1766666666666665,55.29787976,0,0.77,0.8985865677523613
2CaFNO3-1,CaNO3F,2.8583755402450515,,4.680590152740479,Novel,0.06776003320259398,-1.7839803510689947,8.590737372107837,0,No,12,4,1,0,0,0,1,1,0,1,0,1,0,2.865,3.98,1.0,2.98,2.5,4.0,12.5,0.85,22.2706258,0,0.765,0.7134413655954308
2BeF2-1,BeF2,8.25356772067039,,10.521464347839355,Novel,0.0,-3.3014325523857866,3.539243991895934,0,No,6,2,1,0,0,0,0,0,0,1,0,1,0,2.775,3.98,1.57,2.41,2.0,2.0,9.5,0.77,14.005292599999999,0,0.76,0.9713468930242095
1CoRe2O8-1,Co(ReO4)2,0.5164877814091895,,4.461828231811523,Novel,0.0,-1.579471666067345,6.898210111550339,1,Unknown,11,3,0,0,0,0,1,0,0,0,0,0,1,2.4066666666666667,3.44,1.88,1.56,4.0,6.0,10.666666666666666,1.2933333333333332,87.04653166666667,0,0.755,0.05369356681479319
6FTl-3,TlF,2.7628516527804043,,4.677322864532471,Novel,0.0639707969260958,-1.7599094766642278,2.774046699537543,0,No,12,2,1,0,0,0,0,0,0,1,0,0,0,2.8,3.98,1.62,2.36,4.0,6.0,15.0,0.99,111.6908516,0,0.755,0.6715014131050475
2CdTeH2O4-1,CdTe(HO2)2,3.91771989216458,,5.214308738708496,Novel,0.011237359797268809,-1.1268663491916202,4.519266692956032,0,No,16,4,0,0,0,0,1,0,0,0,0,0,1,2.3575,3.44,1.69,1.75,3.25,5.0,11.25,0.9625,64.25458499999999,0,0.75,0.4334530564700199
2IKS2H4-1,KH4S2I,3.533914841139144,,4.784974575042725,Novel,0.028732628384055214,-0.4865232857701556,5.992030997556336,0,No,16,4,0,0,0,1,0,0,1,1,1,0,0,2.065,2.66,0.82,1.8400000000000003,3.25,5.0,8.75,1.2475,49.768927500000004,0,0.75,0.19639748748667032
